,Energiewirtschaft,Verarbeitendes Gewerbe,Verkehr,Uebrige Feuerungsanlagen & sonstige kleine Quellen,Diffuse Emissionen aus Brennstoffen,Industrieprozesse,Landwirtschaft,Abfall & Abwasser
1990,427.353072969089,186.76699382540005,164.924109251419,220.25771583643998,37.696597888207904,96.83347097416559,76.50948866068603,38.2354694755809
1991,413.164017330952,165.35156856124001,167.82866252262102,216.88303133017502,36.67294713661221,93.1090874414691,69.43867960083219,39.6125521008208
1992,390.6166816361009,154.80127607083998,173.56701565540195,197.56796627947003,34.391166991479004,93.3319711125977,67.7156091722422,40.18813722903619
1993,379.76526090171006,143.94465932967302,177.985544893637,204.73507179660604,35.42572238365221,94.5172137231538,66.47190248649879,39.9998904033742
1994,376.97500751284406,142.32655306479697,174.03401726629096,193.73505498982811,32.34420721059549,100.29669610750099,65.94951528363238,39.203810945091206
1995,367.537269002464,145.753919741655,177.82474674973702,195.639797620094,31.0387416127426,98.53880774718,65.9963471843179,38.225618074024304
1996,374.56105186313204,136.53758895612302,177.804720134436,219.80984684563302,30.079126678516694,96.59028569421021,66.63111553752661,36.7724010366385
1997,353.6602908902221,140.624729313242,178.231429994213,205.369548576111,29.519921394038004,96.85197004632091,65.80494204539791,33.818112689172004
1998,356.29611085927803,136.206376142282,181.66982843435102,196.75200914885897,26.848561212107306,83.00471781629541,66.3176000704473,31.680428236140102
1999,344.689936947004,133.79080384355902,186.831231844883,180.129657969585,27.818668980693502,74.9292258341495,66.69955945838642,30.038358841560804
2000,358.02930182073305,130.258784030002,182.84806780999298,173.204398107575,25.887338854834894,77.83457313300289,66.07840303249633,28.471220338596698
2001,371.2902030378029,123.07663183931801,179.01152161080196,193.763052331734,23.509178871856104,74.47287191209278,66.81839476098891,26.803204910090514
2002,372.5721866758751,122.151680227684,176.72358960550304,180.516770083502,22.306407155413602,73.08578046922892,64.45996827024379,25.4181888093726
2003,386.8441500335849,118.95877689451105,170.26635516299498,172.85198558845502,20.529828813869,76.97861196907672,63.800611408961906,23.907255659414396
2004,384.291379543831,118.696364995525,169.747753561245,162.10804799672,17.8019624688303,78.90508589656041,63.374163081712325,22.600990812086398
2005,379.373497189494,115.55408820384501,161.69752477400405,159.63009688506497,16.0528118389722,75.65386663879958,63.3192033585238,21.248425730071197
2006,381.12272585596395,120.480999129127,157.91679159736896,168.20911376429405,14.359745540503294,75.8181995357546,62.039862436258296,19.407235769887503
2007,388.418363728774,128.31564781119295,154.74483789755902,131.44240445534402,13.0841872966561,76.97417101946128,62.6910962523764,18.097918778961603
2008,368.41416845760085,128.51131673475598,154.42001704743998,157.58379026430902,12.661481119241,73.24681769432691,63.0763856143757,16.866369242436498
2009,343.962271554692,110.318616985264,153.692352346417,144.65853238537795,11.038551573813002,65.80149997822568,63.57212941930149,15.6444907929215
2010,355.957662572559,125.848211972118,154.458586917962,154.359182112927,10.904410708719599,62.598978940229905,63.1621953025926,14.5161068366497
2011,353.6292625417891,122.92885287590299,156.377256427256,133.934600733294,10.8337138249351,62.5303323424065,63.3049486283406,13.734631150805605
2012,363.781771262452,118.03894343984597,155.1096105605991,136.043314097679,11.6336922960399,61.6216889057815,64.14758359277731,12.965422662083002
2013,366.76833299779196,118.734599109802,159.543902335567,145.68250233257297,11.180417711154199,61.38698000806461,64.9146830308778,12.208121898309601
2014,347.90687160180795,118.55862901462702,160.376327928618,124.84187062199499,10.2484578965246,61.25888503687341,66.4484815582602,11.615620865564098
2015,335.66988201157506,127.25770784927299,163.003153829969,130.60479959970502,10.360689136781296,60.288802556364004,66.0751532500859,11.001623532978897
2016,332.714477883596,129.638027041661,166.25954531574098,131.383304538181,9.786524371653757,62.1443579889931,65.58185590067579,10.4598130419617
2017,311.86440741351987,131.583373490134,169.365196093934,128.739890536594,9.676407185474783,66.11545983351039,64.6849104707733,10.046021896164998
2018,299.337659763202,126.40959731136594,163.924719336604,122.30859518051099,8.5556178322497,63.25417491480718,62.48732057216889,9.61272852749125
2019,249.69555844997,125.437196164584,165.532832828239,129.558324565827,7.137263442268182,61.355874741687096,61.83891767273511,9.242568930800896
2020,212.352954959055,119.94382058043001,146.74147378167498,125.99717567395297,6.986971062570522,58.16619586686079,60.41067776866349,8.895329544366259
